Boba_pl,Address,Latitude,Longitude
Regiustea,"123 Ô Chợ Dừa, Hà Nội, Vietnam",21.0197216,105.8277374
Gong Cha Lý Thường Kiệt,"56 Lý Thường Kiệt, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội, Vietnam",21.024906,105.845417
Gong Cha Giảng Võ,"Tòa nhà D2 Giảng Võ, Quận Ba Đình, Hà Nội",21.0261461,105.8221613
Gong Cha Nguyễn Văn Cừ - Long Biên,"187 Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",21.044474,105.872864
Gong Cha Times City,"Park 3 – Park Hill, Khu đô thị Times City, P.Mai Động, Q.Hoàng Mai, Hà Nội",20.9917435,105.8682811
Gong Cha Hàng Cót,"3 Hàng Cót, P.Hàng Mã, Q.Hoàn Kiếm, Hà Nội ",21.0386985,105.8471265
Gong Cha Hoàng Đạo Thúy,"Lô T1.5, Tầng 1 Tòa nhà 34T, khu đô thị mới Trung Hòa, Nhân Chính, đường Hoàng Đạo Thúy, phường Trung Hòa, quận Cầu Giấy, Hà Nội",21.007211,105.8008751
Royal Tea Thái Phiên,"19 Thái Phiên, Lê Đại Hành, Hà Nội, Vietnam",21.010551,105.850356
Royal Tea Quang Trung,"16 Quang Trung, Trần Hưng Đạo, Hà Nội, Vietnam",21.02309,105.848969
Royal Tea Ngô Quyền,"18 Ngô Quyền,Hoàn Kiếm, Hà Nội, Vietnam",21.019864,105.8534968
Royal   Tea Phạm Ngọc Thạch,"19B10 Phạm Ngọc Thạch, Đống Đa,  Hà Nội",21.009896,105.835796
Royal Tea Phan Đình Phùng,"1 Phan Đình Phùng, Hàng Mã, Hà Nội, Vietnam",21.039611,105.846891
Royal Tea Cơ Sở Trần Phú – Hà Đông,"Toà nhà Hồ Gươm Plaza, 110 Trần Phú, P. Mỗ Lao, Q. Hà Đông",20.9790077,105.7856378
Royal Tea Ngô Quyền,"8 Ngô Quyền , Hoàn Kiếm , Hà Nội",21.028744,105.856424
Royal Tea Cầu Giấy,"188 Cầu Giấy, Ngọc Khánh, Hà Nội, Vietnam",21.0287821,105.8046538
Royal Tea Giảng Võ,"165 Giảng Võ, Chợ Dừa, Hà Nội, Vietnam",21.028165,105.8255329
Royal Tea Cửa Nam,"2 Cửa Nam, Hoàn Kiếm, Hà Nội",21.027914,105.842557
Royal Tea Trần Đăng Ninh,"64 Trần Đăng Ninh, Hà Nội",21.038841,105.792435
Royal Tea Đào Tấn,"76 Đào Tấn, Cống Vị, Quận Ba Đình, Hà Nội",21.0330909,105.8069971
Royal Tea Trần Phú,"Tầng 1 TTTM Hồ Gươm Plaza, 110 Trần Phú, Mỗ Lao, Hà Đông, Hà Nội, Quận Hà Đông, Hà Nội",20.9790077,105.7856378
Royal Tea Hàng Cá,"5 Hàng Cá, Hà Nội",21.036057,105.849208
Royal Tea Ngô Quyền,"18 Ngô Quyền, Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",21.02472,105.855039
Royal Tea Vũ Phạm Hàm,"142 Vũ Phạm Hàm, Yên Hoà, Quận Cầu Giấy, Hà Nội",21.0194518,105.8000908
Royal Tea Trần Duy Hưng,"105 Trần Duy Hưng, Hà Nội",21.0114424,105.8003101
Royal Tea Nguyễn Trãi,"515 Nguyễn Trãi, Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",20.987148,105.797487
Dingtea Cơ sở 1,"23 Lê Đại Hành, Hai Bà Trưng",21.0238839,105.8542263
Dingtea Cơ sở 2,"163 Giảng Võ, Đống Đa",21.028183,105.825554
Dingtea Cơ sở 3,"47 Hàng Cót, Hoàn Kiếm",21.037158,105.847198
Dingtea Cơ sở 4,"180 Cầu Giấy, Cầu Giấy",21.033702,105.797694
Dingtea Cơ sở 5,"102 Trần Duy Hưng, Cầu Giấy",21.011543,105.800354
Dingtea Cơ sở 6,"1B Nguyễn Hữu Huân, Hoàn Kiếm",21.035044,105.854482
Dingtea Cơ sở 7,"26 Thái Hà, Đống Đa",21.01005,105.822993
Dingtea Cơ sở 8,"15A Đào Tấn, Ba Đình",21.0337384,105.8060407
